id,clave,nombre
cve_clave_unidad354,XZC,"Contenedor intermedio para gráneles de papel, multi-pared y resistente al agua"
cve_clave_unidad355,XZD,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural para sólidos"
cve_clave_unidad356,XZF,"Contenedor intermedio para gráneles de plástico rígido, autoportante para sólidos"
cve_clave_unidad357,XZG,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural, presurizado"
cve_clave_unidad358,XZH,"Contenedor intermedio para gráneles de plástico rígido, autoportante y presurizado"
cve_clave_unidad359,XZJ,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural para líquidos"
cve_clave_unidad360,XZK,"Contenedor intermedio para gráneles de plástico rígido, autoportante, líquidos"
cve_clave_unidad361,XZL,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, sólidos"
cve_clave_unidad362,XZM,"Contenedor intermedio para gráneles, compuesto y de plástico flexible, sólidos"
cve_clave_unidad363,XZN,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, presurizado"
cve_clave_unidad364,XZP,"Contenedor intermedio para gráneles, compuesto y de plástico flexible, presurizado"
cve_clave_unidad365,XZQ,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, líquidos"
cve_clave_unidad366,XZR,"Contenedor intermedio para gráneles, compuesto y de plástico flexible para líquidos"
cve_clave_unidad367,XZS,"Contenedor intermedio para gráneles, compuesto"
cve_clave_unidad368,XZT,Contenedor intermedio para gráneles con tablero de fibras
cve_clave_unidad369,XZU,Contenedor intermedio para gráneles flexible
cve_clave_unidad370,XZV,"Contenedor intermedio para gráneles de metal, distinto del acero"
cve_clave_unidad371,XZW,"Contenedor intermedio para gráneles, de madera natural"
cve_clave_unidad372,XZX,"Contenedor intermedio para gráneles, de contrachapado"
cve_clave_unidad373,XZY,"Contenedor intermedio para gráneles, de madera reconstituida"
cve_clave_unidad374,KGM,Kilogramo
cve_clave_unidad375,MC,Microgramo
cve_clave_unidad376,DJ,Decagramo
cve_clave_unidad377,DG,Decigramo
cve_clave_unidad378,GRM,Gramo
cve_clave_unidad379,CGM,Centigramo
cve_clave_unidad380,TNE,Tonelada (tonelada métrica)
cve_clave_unidad381,DTN,Decitonelada métrica
cve_clave_unidad382,MGM,Miligramo
cve_clave_unidad383,HGM,Hectogramo
cve_clave_unidad384,KTN,Kilotonelada Métrica
cve_clave_unidad385,2U,Megagramo
cve_clave_unidad386,LBR,Libra
cve_clave_unidad387,GRN,Grano
cve_clave_unidad388,ONZ,Onza (avoirdupois)
cve_clave_unidad389,CWI,Hundredweight
cve_clave_unidad390,CWA,Hundred pound
cve_clave_unidad391,LTN,Tonelada (UK) o tonelada larga (estados unidos)
cve_clave_unidad392,STI,Estone (UK)
cve_clave_unidad393,STN,Tonelada (estados unidos) o tonelada corta (UK y estados unidos)
cve_clave_unidad394,APZ,Onza troy u onza farmacéutica 
cve_clave_unidad395,F13,Slug
cve_clave_unidad396,K64,Libra (avoirdupois) por grado fahrenheit
cve_clave_unidad397,L69,Tonelada por kelvin
cve_clave_unidad398,L87,Tonelada corta por grado fahrenheit
cve_clave_unidad399,M85,"Tonelada, ensayo"
cve_clave_unidad400,M86,Libra Alemana
cve_clave_unidad401,J33,Microgramo por kilogramo
cve_clave_unidad402,L32,Nanogramo por kilogramo
cve_clave_unidad403,NA,Miligramo por kilogramo
cve_clave_unidad404,M29,Kilogramo por kilogramo
cve_clave_unidad405,M91,Libra por libra
cve_clave_unidad406,Q29,Microgramo por hectogramo
cve_clave_unidad407,MTQ,Metro cúbico
cve_clave_unidad408,MAL,Megalitro
cve_clave_unidad409,LTR,Litro
cve_clave_unidad410,MMQ,Milímetro cúbico
cve_clave_unidad411,CMQ,Centímetro cúbico
cve_clave_unidad412,DMQ,Decímetro cúbico
cve_clave_unidad413,MLT,Mililitro
cve_clave_unidad414,HLT,Hectolitro
cve_clave_unidad415,CLT,Centilitro
cve_clave_unidad416,DMA,Decámetro cúbico
cve_clave_unidad417,H19,Hectómetro cúbico
cve_clave_unidad418,H20,Kilómetro cúbico
cve_clave_unidad419,M71,Metro cúbico por pascal (joules)
cve_clave_unidad420,DLT,Decilitro
cve_clave_unidad421,4G,Microlitro
cve_clave_unidad422,K6,Kilolitro
cve_clave_unidad423,A44,Decalitro
cve_clave_unidad424,G94,Centímetro cúbico por bar
cve_clave_unidad425,G95,Litro por bar
cve_clave_unidad426,G96,Metro cúbico por bar
cve_clave_unidad427,G97,Mililitro por bar 
cve_clave_unidad428,5I,Pies cúbicos estándar
cve_clave_unidad429,INQ,Pulgada cúbica
cve_clave_unidad430,FTQ,Pie cúbico
cve_clave_unidad431,YDQ,Yarda cúbica
cve_clave_unidad432,GLI,Galón (UK)
cve_clave_unidad433,GLL,Galón (EUA)
cve_clave_unidad434,PT,Pinta (US)
cve_clave_unidad435,PTI,Pint (uk)
cve_clave_unidad436,QTI,Cuarto (UK)
cve_clave_unidad437,PTL,Pinta líquida (estados unidos)
cve_clave_unidad438,QTL,Cuarto de líquido (estadis unidos)
cve_clave_unidad439,PTD,Pinta seca (estados unidos)
cve_clave_unidad440,OZI,Onza líquida (UK)
cve_clave_unidad441,QT,Cuarto (EUA)
cve_clave_unidad442,J57,Barril (uk petróleo)
cve_clave_unidad443,K21,Pie cúbico por grado fahrenheit
cve_clave_unidad444,K23,Pie cúbico por psi (libra por pulgada cuadrada)
cve_clave_unidad445,L43,Peck (UK)
cve_clave_unidad446,L61,Pinta (US seco)
cve_clave_unidad447,L62,Cuarto de galón (seco de los EUA)
cve_clave_unidad448,L84,Tonelada (flota UK)
cve_clave_unidad449,L86,Tonelada (flota estados unidos)
cve_clave_unidad450,M11,Yarda cúbica por grado fahrenheit
cve_clave_unidad451,M14,Yarda cúbica por psi (libra por pulgada cuadrada)
cve_clave_unidad452,OZA,Onza líquida (estados unidos)
cve_clave_unidad453,BUI,Bushel (UK)
cve_clave_unidad454,BUA,Bushel (EUA)
cve_clave_unidad455,BLL,Barril (EUA)
cve_clave_unidad456,BLD,Barril seco (EUA)
cve_clave_unidad457,GLD,Galón seco (EUA)
cve_clave_unidad458,QTD,Cuarto seco (estados unidos)
cve_clave_unidad459,G26,Estere
cve_clave_unidad460,G21,Taza (unidad de volumen)
cve_clave_unidad461,G24,Cucharada (estados unidos)
cve_clave_unidad462,G25,Cucharilla (estados unidos)
cve_clave_unidad463,G23,Peck
cve_clave_unidad464,M67,Acre-pie
cve_clave_unidad465,M68,Cordón
cve_clave_unidad466,M69,Milla cúbica (reino unido)
cve_clave_unidad467,M70,Unidad tradicional de capacidad de carga
cve_clave_unidad468,Q32,Femtolitro
cve_clave_unidad469,Q33,Picolitro
cve_clave_unidad470,Q34,Nanolitro
cve_clave_unidad471,NM3,Metro cúbico normalizado
cve_clave_unidad472,SM3,Metro cúbico estándar
